estacion,fecha,hora,Temperature,humedad,Pressure,windspeed,winddiraction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
smooy,2023-01-06,14:00,289.45,40.09,1001.66,0.85,271.91,0.0,0.0,0.0,443.727
smooy,2023-01-06,15:00,289.89,38.05,1001.2,0.65,272.63,0.0,0.0,0.0,333.3132
smooy,2023-01-06,16:00,288.2,47.23,1001.23,0.92,219.48,0.0,0.0,0.0,199.6695
smooy,2023-01-06,17:00,286.51,56.41,1001.26,1.55,199.97,0.0,0.0,0.0,58.2164
smooy,2023-01-06,18:00,284.82,65.59,1001.29,2.25,192.08,0.0,0.0,0.0,0.0
smooy,2023-01-06,19:00,284.31,71.42,1001.53,2.29,201.54,0.0,0.0,0.0,0.0
smooy,2023-01-06,20:00,283.8,77.26,1001.78,2.38,210.47,0.0,0.0,0.0,0.0
smooy,2023-01-06,21:00,283.29,83.09,1002.02,2.53,218.51,0.0,0.0,0.0,0.0
smooy,2023-01-06,22:00,282.98,82.36,1001.87,2.18,221.21,0.0,0.0,0.0,0.0
smooy,2023-01-06,23:00,282.66,81.64,1001.71,1.83,224.95,0.0,0.0,0.0,0.0
smooy,2023-01-06,00:00,282.35,80.91,1001.56,1.49,230.42,0.0,0.0,0.0,0.0
smooy,2023-01-07,01:00,282.11,79.17,1001.34,1.26,244.07,0.0,0.0,0.0,0.0
smooy,2023-01-07,02:00,281.86,77.43,1001.13,1.12,262.42,0.0,0.0,0.0,0.0
smooy,2023-01-07,03:00,281.62,75.69,1000.91,1.12,283.11,0.0,0.0,0.0,0.0
smooy,2023-01-07,04:00,281.47,71.29,1000.82,1.3,287.83,0.0,0.0,0.0,0.0
smooy,2023-01-07,05:00,281.31,66.89,1000.73,1.49,291.38,0.0,0.0,0.0,0.0
smooy,2023-01-07,06:00,281.16,62.49,1000.64,1.68,294.12,0.0,0.0,0.0,0.0
smooy,2023-01-07,07:00,282.26,58.15,1001.03,1.71,296.94,0.0,0.0,0.0,0.0
smooy,2023-01-07,08:00,283.36,53.8,1001.43,1.75,299.66,0.0,0.0,0.0,21.4727
smooy,2023-01-07,09:00,284.45,49.45,1001.82,1.79,302.25,0.0,0.0,0.0,147.7637
smooy,2023-01-07,10:00,285.9,44.82,1001.75,1.84,303.31,0.0,0.0,0.0,288.5761
smooy,2023-01-07,11:00,287.35,40.2,1001.68,1.9,304.3,0.0,0.0,0.0,415.494
smooy,2023-01-07,12:00,288.81,35.57,1001.61,1.95,305.24,0.0,0.0,0.0,476.2815
smooy,2023-01-07,13:00,289.23,33.96,1000.81,1.49,302.52,0.0,0.0,0.0,489.531
smooy,2023-01-07,14:00,289.66,32.34,1000.0,1.03,297.37,0.0,0.0,0.0,453.3513
smooy,2023-01-07,15:00,290.09,30.73,999.2,0.59,284.41,0.0,0.0,0.0,340.3884
smooy,2023-01-07,16:00,288.43,36.27,999.27,0.55,212.31,0.0,0.0,0.0,204.5287
smooy,2023-01-07,17:00,286.76,41.8,999.33,1.07,180.54,0.0,0.0,0.0,61.5183
smooy,2023-01-07,18:00,285.1,47.34,999.4,1.71,170.81,0.0,0.0,0.0,0.0
smooy,2023-01-07,19:00,284.5,52.49,999.63,1.51,189.29,0.0,0.0,0.0,0.0
smooy,2023-01-07,20:00,283.91,57.64,999.87,1.5,210.45,0.0,0.0,0.0,0.0
smooy,2023-01-07,21:00,283.32,62.8,1000.11,1.68,229.34,0.0,0.0,0.0,0.0
smooy,2023-01-07,22:00,283.13,60.64,999.81,1.45,243.52,0.0,0.0,0.0,0.0
smooy,2023-01-07,23:00,282.94,58.49,999.51,1.33,261.61,0.0,0.0,0.0,0.0
smooy,2023-01-07,00:00,282.74,56.34,999.21,1.36,280.93,0.0,0.0,0.0,0.0
